Collection,Plot,Treatment,Biomass_Herb,Biomass_Shrub,Biomass_Litter_kgm2,Biomass_Duff_kgm2,FWD_Mgha,CWD_Mgha
post-thin,1,control,0,67.50000000000001,1101.275,1101.275,124.99919770073599,274.01723999999996
post-thin,1,thin,2.8800000000000003,11.250000000000002,1431.6575,881.02,79.72263147894398,924.5751770787999
post-thin,2,control,0,72.00000000000003,770.8924999999999,660.7650000000001,79.84137576252797,1258.2424285394
post-thin,2,thin,2.4000000000000004,4.500000000000002,1101.275,881.02,57.114820824927996,1862.1987941575999
post-thin,3,control,0,22.500000000000004,1431.6575,881.02,68.478098293728,1431.6002743817999
post-thin,3,thin,4.000000000000001,72.00000000000001,1211.4025000000001,440.51,147.430464701344,1019.6423829212
post-thin,4,control,0,49.5,1651.9125000000001,881.02,113.75466451551998,930.1673658423998
post-thin,4,thin,80.00000000000001,18.000000000000007,1431.6575,1101.275,68.53747043551999,945.0798685394001
post-thin,5,control,0.8,142.20000000000002,1982.295,1101.275,79.72263147894398,1260.1064914606
post-thin,5,thin,0.8,8.55,1872.1675,1321.5300000000002,68.29998186835199,902.2064229211999
post-thin,6,control,0,18.000000000000007,1541.7849999999999,881.02,102.39138704671998,3964.8616970788
post-thin,6,thin,32.00000000000001,5.4,1651.9125,881.02,23.142159930143997,2154.8566629212
post-thin,7,control,0,130.5,1431.6575,881.02,113.69529237372798,0
post-thin,7,thin,0,21.600000000000005,1321.5300000000002,881.02,79.84137576252797,452.96727438179994
post-thin,8,control,42,81.00000000000001,1872.1675,1541.7849999999999,68.24060972656,2018.7800743818
post-thin,8,thin,2.400000000000001,15.299999999999999,1101.275,1101.275,158.853114311936,1625.4628114606
post-thin,9,control,0,117,1541.7849999999999,660.7650000000001,102.27264276313598,477.20009146059994
post-thin,9,thin,10.000000000000002,18.000000000000007,1541.785,660.7650000000001,113.45780380656,1096.0689599999998
post-thin,10,control,0,27,1872.1675,1101.275,0.4156049925439999,0
post-thin,10,thin,3,0,1541.7849999999999,660.7650000000001,113.75466451551998,1364.4940114606
post-thin,11,control,0.8,163.8,1101.275,660.7650000000001,203.951564108352,818.3235943817999
post-thin,11,thin,2544,13.5,1321.5300000000002,440.51,102.39138704671998,1163.175222697
post-thin,12,control,0,58.50000000000001,1651.9125000000001,881.02,56.93670439955199,676.6548170788
post-thin,12,thin,404,10.800000000000002,1762.04,1541.7849999999999,56.99607654134399,676.6548170788
pre-thin,1,control,1141.3600000000001,0,1321.5300000000002,1541.7849999999999,113.57654809014399,1903.4729527947998
pre-thin,1,thin,1413.3333336,31.500000000000007,1541.7849999999999,1321.5300000000002,125.11794198431998,2952.8678776521997
pre-thin,2,control,238.933333268,49.5,1541.7849999999999,1321.5300000000002,249.87965111788793,1997.0863767835997
pre-thin,2,thin,198.773333293,2.7,881.02,881.02,283.733567729088,721.1700806421999
pre-thin,3,control,96.00000000000001,42.300000000000004,1321.5300000000002,1101.275,226.79686332953597,2406.211710647
pre-thin,3,thin,160.00000000000003,0,1321.5300000000002,1321.5300000000002,249.168758188352,1900.0057890263997
pre-thin,4,control,548.5200000000001,0,1321.5300000000002,881.02,158.853114311936,346.71638491119995
pre-thin,4,thin,1740,27,1321.5300000000002,881.02,79.84137576252797,443.7969726684
pre-thin,5,control,138,99.00000000000001,1321.5300000000002,1321.5300000000002,170.216391780736,3929.4523613553997
pre-thin,5,thin,686,72.00000000000003,1101.275,1321.5300000000002,158.91248645372798,1251.6461493142
pre-thin,6,control,300.00000000000006,22.500000000000004,1321.5300000000002,1762.04,148.081985489088,0
pre-thin,6,thin,900,0,1762.04,881.02,204.30779695910397,0
pre-thin,7,control,1120.4,108,881.02,881.02,91.44214179849598,1154.565561557
pre-thin,7,thin,152.00000000000003,72.00000000000003,1762.04,881.02,192.883574576544,1349.882458477
pre-thin,8,control,1480.8000000000002,31.5,1101.275,1321.5300000000002,272.251545976704,280.84027174219995
pre-thin,8,thin,33.20000000000001,117,1101.275,1321.5300000000002,170.63199677327998,1678.1073026922
pre-thin,9,control,340.00000000000006,54,1101.275,1321.5300000000002,170.394508206112,346.71638491119995
pre-thin,9,thin,512.9200000000001,99.00000000000001,1762.04,1321.5300000000002,170.157019638944,1858.399823133
pre-thin,10,control,193.28,36.000000000000014,1321.5300000000002,881.02,227.21246832207999,3998.795638517
pre-thin,10,thin,36,72.00000000000001,1762.04,1321.5300000000002,237.864852861344,419.526825617
pre-thin,11,control,204.2,49.50000000000001,1321.5300000000002,1321.5300000000002,12.194487453887998,1067.8864655533998
pre-thin,11,thin,200,9.000000000000004,1321.5300000000002,1762.04,226.85623547132795,1085.2222846196
pre-thin,12,control,100,27,1541.7849999999999,881.02,306.400750524896,561.6805434843999
pre-thin,12,thin,368.00000000000006,31.5,1101.275,1321.5300000000002,260.828896366112,221.8984863342
