plot,quadrant,direction,open,one_minus,percent_cover_closed
1,1,N,3,93,96.72
1,1,S,2,94,97.76
1,1,E,2,94,97.76
1,1,W,2,94,97.76
1,2,N,3,93,96.72
1,2,S,3,93,96.72
1,2,E,2,94,97.76
1,2,W,4,92,95.68
1,3,N,3,93,96.72
1,3,S,4,92,95.68
1,3,E,2,94,97.76
1,3,W,3,93,96.72
1,4,N,2,94,97.76
1,4,S,4,92,95.68
1,4,E,2,94,97.76
1,4,W,3,93,96.72
2,1,N,2,94,97.76
2,1,S,4,92,95.68
2,1,E,2,94,97.76
2,1,W,2,94,97.76
2,2,N,6,90,93.6
2,2,S,6,90,93.6
2,2,E,3,93,96.72
2,2,W,2,94,97.76
2,3,N,3,93,96.72
2,3,S,3,93,96.72
2,3,E,2,94,97.76
2,3,W,2,94,97.76
2,4,N,5,91,94.64
2,4,S,4,92,95.68
2,4,E,5,91,94.64
2,4,W,2,94,97.76
3,1,N,2,94,97.76
3,1,S,1,95,98.8
3,1,E,1,95,98.8
3,1,W,1,95,98.8
3,2,N,0,96,99.84
3,2,S,1,95,98.8
3,2,E,1,95,98.8
3,2,W,1,95,98.8
3,3,N,3,93,96.72
3,3,S,0,96,99.84
3,3,E,1,95,98.8
3,3,W,0,96,99.84
3,4,N,1,95,98.8
3,4,S,1,95,98.8
3,4,E,0,96,99.84
3,4,W,2,94,97.76
4,1,N,3,93,96.72
4,1,S,2,94,97.76
4,1,E,2,94,97.76
4,1,W,1,95,98.8
4,2,N,1,95,98.8
4,2,S,0,96,99.84
4,2,E,2,94,97.76
4,2,W,0,96,99.84
4,3,N,1,95,98.8
4,3,S,1,95,98.8
4,3,E,2,94,97.76
4,3,W,1,95,98.8
4,4,N,1,95,98.8
4,4,S,1,95,98.8
4,4,E,2,94,97.76
4,4,W,1,95,98.8
5,1,N,0,96,99.84
5,1,S,3,93,96.72
5,1,E,1,95,98.8
5,1,W,1,95,98.8
5,2,N,2,94,97.76
5,2,S,0,96,99.84
5,2,E,1,95,98.8
5,2,W,1,95,98.8
5,3,N,2,94,97.76
5,3,S,1,95,98.8
5,3,E,4,92,95.68
5,3,W,1,95,98.8
5,4,N,2,94,97.76
5,4,S,1,95,98.8
5,4,E,1,95,98.8
5,4,W,1,95,98.8
6,1,N,0,96,99.84
6,1,S,2,94,97.76
6,1,E,0,96,99.84
6,1,W,1,95,98.8
6,2,N,0,96,99.84
6,2,S,1,95,98.8
6,2,E,0,96,99.84
6,2,W,1,95,98.8
6,3,N,3,93,96.72
6,3,S,1,95,98.8
6,3,E,2,94,97.76
6,3,W,1,95,98.8
6,4,N,2,94,97.76
6,4,S,0,96,99.84
6,4,E,0,96,99.84
6,4,W,0,96,99.84
7,1,N,2,94,97.76
7,1,S,2,94,97.76
7,1,E,1,95,98.8
7,1,W,0,96,99.84
7,2,N,1,95,98.8
7,2,S,2,94,97.76
7,2,E,5,91,94.64
7,2,W,1,95,98.8
7,3,N,2,94,97.76
7,3,S,1,95,98.8
7,3,E,2,94,97.76
7,3,W,5,91,94.64
7,4,N,3,93,96.72
7,4,S,3,93,96.72
7,4,E,0,96,99.84
7,4,W,0,96,99.84
8,1,N,3,93,96.72
8,1,S,3,93,96.72
8,1,E,2,94,97.76
8,1,W,1,95,98.8
8,2,N,4,92,95.68
8,2,S,3,93,96.72
8,2,E,2,94,97.76
8,2,W,3,93,96.72
8,3,N,1,95,98.8
8,3,S,2,94,97.76
8,3,E,1,95,98.8
8,3,W,3,93,96.72
8,4,N,1,95,98.8
8,4,S,2,94,97.76
8,4,E,1,95,98.8
8,4,W,1,95,98.8
9,1,N,1,95,98.8
9,1,S,2,94,97.76
9,1,E,2,94,97.76
9,1,W,3,93,96.72
9,2,N,3,93,96.72
9,2,S,1,95,98.8
9,2,E,3,93,96.72
9,2,W,1,95,98.8
9,3,N,2,94,97.76
9,3,S,3,93,96.72
9,3,E,0,96,99.84
9,3,W,2,94,97.76
9,4,N,3,93,96.72
9,4,S,0,96,99.84
9,4,E,2,94,97.76
9,4,W,2,94,97.76
10,1,N,2,94,97.76
10,1,S,3,93,96.72
10,1,E,2,94,97.76
10,1,W,3,93,96.72
10,2,N,2,94,97.76
10,2,S,1,95,98.8
10,2,E,2,94,97.76
10,2,W,2,94,97.76
10,3,N,0,96,99.84
10,3,S,1,95,98.8
10,3,E,0,96,99.84
10,3,W,0,96,99.84
10,4,N,1,95,98.8
10,4,S,1,95,98.8
10,4,E,0,96,99.84
10,4,W,1,95,98.8
11,1,N,2,94,97.76
11,1,S,6,90,93.6
11,1,E,1,95,98.8
11,1,W,4,92,95.68
11,2,N,3,93,96.72
11,2,S,2,94,97.76
11,2,E,6,90,93.6
11,2,W,5,91,94.64
11,3,N,2,94,97.76
11,3,S,1,95,98.8
11,3,E,2,94,97.76
11,3,W,0,96,99.84
11,4,N,1,95,98.8
11,4,S,2,94,97.76
11,4,E,1,95,98.8
11,4,W,0,96,99.84
12,1,N,2,94,97.76
12,1,S,4,92,95.68
12,1,E,2,94,97.76
12,1,W,2,94,97.76
12,2,N,1,95,98.8
12,2,S,2,94,97.76
12,2,E,3,93,96.72
12,2,W,3,93,96.72
12,3,N,2,94,97.76
12,3,S,2,94,97.76
12,3,E,1,95,98.8
12,3,W,2,94,97.76
12,4,N,1,95,98.8
12,4,S,1,95,98.8
12,4,E,1,95,98.8
12,4,W,2,94,97.76
