Collection,Plot,Treatment,woody_3plus,inches,woody_3plusclass,Specific_gravity,NHAC,transect_length,biomass
post-thin,1,control,0,0,0,0.4,1,35,0
post-thin,2,control,0,0,0,0.4,1,35,0
post-thin,3,control,0,0,0,0.4,1,35,0
post-thin,5,control,0,0,0,0.4,1,35,0
post-thin,7,control,0,0,0,0.4,1,35,0
post-thin,7,control,0,0,0,0.4,1,35,0
post-thin,8,control,0,0,0,0.4,1,35,0
post-thin,9,control,0,0,0,0.4,1,35,0
post-thin,10,control,0,0,0,0.4,1,35,0
post-thin,10,control,0,0,0,0.4,1,35,0
post-thin,12,control,0,0,0,0.4,1,35,0
post-thin,4,thin,0,0,0,0.4,1,35,0
post-thin,5,thin,0,0,0,0.4,1,35,0
post-thin,6,thin,0,0,0,0.4,1,35,0
post-thin,7,thin,0,0,0,0.4,1,35,0
post-thin,9,thin,0,0,0,0.4,1,35,0
post-thin,12,thin,0,0,0,0.4,1,35,0
post-thin,8,thin,3.5,3.5,1,0.4,1,35,1.6296
post-thin,11,thin,4.5,4.5,1,0.4,1,35,2.693828571
post-thin,4,control,4,4,2,0.4,1,35,2.128457143
post-thin,9,control,4,4,2,0.4,1,35,2.128457143
post-thin,11,control,3.5,3.5,2,0.4,1,35,1.6296
post-thin,2,thin,4.5,4.5,2,0.4,1,35,2.693828571
post-thin,3,thin,5,5,2,0.4,1,35,3.325714286
post-thin,6,thin,8.5,8.5,2,0.4,1,35,9.611314286
post-thin,8,thin,6.5,6.5,2,0.4,1,35,5.620457143
post-thin,5,control,6.5,6.5,3,0.4,1,35,5.620457143
post-thin,6,control,10.5,10.5,3,0.4,1,35,14.6664
post-thin,1,thin,3.5,3.5,3,0.4,1,35,1.6296
post-thin,5,thin,5.5,5.5,3,0.4,1,35,4.024114286
post-thin,1,control,3.5,3.5,4,0.3,1,35,1.2222
post-thin,2,control,7.5,7.5,4,0.3,1,35,5.612142857
post-thin,3,control,8,8,4,0.3,1,35,6.385371429
post-thin,4,control,4.5,4.5,4,0.3,1,35,2.020371429
post-thin,12,control,5.5,5.5,4,0.3,1,35,3.018085714
post-thin,3,thin,3.5,3.5,4,0.3,1,35,1.2222
post-thin,4,thin,6.5,6.5,4,0.3,1,35,4.215342857
post-thin,7,thin,4.5,4.5,4,0.3,1,35,2.020371429
post-thin,10,thin,5,5,4,0.3,1,35,2.494285714
post-thin,11,thin,5,5,4,0.3,1,35,2.494285714
post-thin,6,control,5.5,5.5,5,0.3,1,35,3.018085714
post-thin,8,control,9.5,9.5,5,0.3,1,35,9.004371429
post-thin,11,control,4.5,4.5,5,0.3,1,35,2.020371429
post-thin,1,thin,5,5,5,0.3,1,35,2.494285714
post-thin,2,thin,7.5,7.5,5,0.3,1,35,5.612142857
post-thin,9,thin,7,7,5,0.3,1,35,4.8888
post-thin,10,thin,6,6,5,0.3,1,35,3.591771429
post-thin,12,thin,5.5,5.5,5,0.3,1,35,3.018085714
pre-thin,10,thin,0,0,0,0.4,1,35,0
pre-thin,11,thin,0,0,0,0.4,1,35,0
pre-thin,1,control,18,7.086614173,r,0.3,1,35,5.010531164
pre-thin,1,control,15,5.905511811,r,0.3,1,35,3.47953553
pre-thin,2,control,24,9.448818898,R,0.3,1,35,8.907610958
pre-thin,3,control,15,5.905511811,r,0.3,1,35,3.47953553
pre-thin,3,control,13,5.118110236,R,0.3,1,35,2.613517798
pre-thin,4,control,10,3.937007874,R,0.3,1,35,1.546460236
pre-thin,7,control,8,3.149606299,r,0.3,1,35,0.989734551
pre-thin,7,control,10,3.937007874,r,0.3,1,35,1.546460236
pre-thin,7,control,13,5.118110236,R,0.3,1,35,2.613517798
pre-thin,8,control,9,3.543307087,R,0.3,1,35,1.252632791
pre-thin,9,control,10,3.937007874,R,0.3,1,35,1.546460236
pre-thin,11,control,12,4.724409449,r,0.3,1,35,2.22690274
pre-thin,11,control,10,3.937007874,r,0.3,1,35,1.546460236
pre-thin,11,control,8,3.149606299,r,0.3,1,35,0.989734551
pre-thin,12,control,9,3.543307087,R,0.3,1,35,1.252632791
pre-thin,12,control,9,3.543307087,R,0.3,1,35,1.252632791
pre-thin,1,thin,11,4.330708661,R,0.3,1,35,1.871216885
pre-thin,2,thin,12,4.724409449,r,0.3,1,35,2.22690274
pre-thin,2,thin,8,3.149606299,r,0.3,1,35,0.989734551
pre-thin,3,thin,22,8.661417323,R,0.3,1,35,7.484867541
pre-thin,3,thin,8,3.149606299,R,0.3,1,35,0.989734551
pre-thin,4,thin,8,3.149606299,R,0.3,1,35,0.989734551
pre-thin,4,thin,8,3.149606299,R,0.3,1,35,0.989734551
pre-thin,5,thin,19,7.480314961,R,0.3,1,35,5.582721451
pre-thin,7,thin,16,6.299212598,r,0.3,1,35,3.958938204
pre-thin,8,thin,22,8.661417323,R,0.3,1,35,7.484867541
pre-thin,9,thin,16,6.299212598,r,0.3,1,35,3.958938204
pre-thin,9,thin,8,3.149606299,r,0.3,1,35,0.989734551
pre-thin,10,thin,11,4.330708661,R,0.3,1,35,1.871216885
pre-thin,11,thin,12,4.724409449,r,0.3,1,35,2.22690274
pre-thin,11,thin,13,5.118110236,r,0.3,1,35,2.613517798
pre-thin,12,thin,8,3.149606299,R,0.3,1,35,0.989734551
pre-thin,3,control,15,5.905511811,s,0.4,1,35,4.639380707
pre-thin,5,control,15,5.905511811,S,0.4,1,35,4.639380707
pre-thin,5,control,25,9.842519685,S,0.4,1,35,12.88716863
pre-thin,10,control,15,5.905511811,S,0.4,1,35,4.639380707
pre-thin,10,control,8,3.149606299,s,0.4,1,35,1.319646068
pre-thin,10,control,24,9.448818898,s,0.4,1,35,11.87681461
pre-thin,1,thin,22,8.661417323,s,0.4,1,35,9.979823388
pre-thin,1,thin,8,3.149606299,s,0.4,1,35,1.319646068
pre-thin,7,thin,10,3.937007874,s,0.4,1,35,2.061946981
pre-thin,9,thin,9,3.543307087,s,0.4,1,35,1.670177055
pre-thin,9,thin,9,3.543307087,s,0.4,1,35,1.670177055
pre-thin,1,control,0,0,0,0.4,1,35,0
pre-thin,2,control,0,0,0,0.4,1,35,0
pre-thin,4,control,0,0,0,0.4,1,35,0
pre-thin,6,control,0,0,0,0.4,1,35,0
pre-thin,6,control,0,0,0,0.4,1,35,0
pre-thin,8,control,0,0,0,0.4,1,35,0
pre-thin,9,control,0,0,0,0.4,1,35,0
pre-thin,11,control,0,0,0,0.4,1,35,0
pre-thin,2,thin,0,0,0,0.4,1,35,0
pre-thin,5,thin,0,0,0,0.4,1,35,0
pre-thin,6,thin,0,0,0,0.4,1,35,0
pre-thin,6,thin,0,0,0,0.4,1,35,0
pre-thin,7,thin,0,0,0,0.4,1,35,0
pre-thin,8,thin,0,0,0,0.4,1,35,0
pre-thin,12,thin,0,0,0,0.4,1,35,0
