Collection,Plot,Treatment,Litter,Duff,Herb_Ht,Woody_Ht,Grass_Cover,Herb_Cover,Woody_Cover,Litter_Cover,Bare_Cover
post-thin,1,thin,2,1,35,25,5,2,5,88,0
post-thin,1,thin,2.5,1,36,0,2,5,0,98,0
post-thin,2,thin,1,0.25,30,10,2,0,5,93,0
post-thin,2,thin,2,1.5,0,0,0,0,0,100,0
post-thin,3,thin,2,0.5,20,60,5,0,10,85,0
post-thin,3,thin,1.5,0.25,0,40,0,0,5,95,0
post-thin,4,thin,2.5,1.5,10,0,2,2,0,96,0
post-thin,4,thin,2,1,0,40,0,0,5,95,0
post-thin,5,thin,3,0.25,10,15,2,0,3,95,0
post-thin,5,thin,3.5,0.25,0,25,0,0,2,98,0
post-thin,6,thin,2,0.5,40,0,20,0,0,80,0
post-thin,6,thin,3.5,1.5,10,30,5,0,2,93,0
post-thin,7,thin,2,0.5,10,20,5,0,10,85,0
post-thin,7,thin,3,1.5,0,20,0,0,2,98,0
post-thin,8,thin,2,0.5,10,10,1,0,2,97,0
post-thin,8,thin,1.5,0.5,10,30,5,0,5,90,0
post-thin,9,thin,2.5,1,30,40,5,0,5,90,0
post-thin,9,thin,2.5,0.5,20,0,5,0,0,95,0
post-thin,10,thin,2,0.25,20,0,10,0,0,100,0
post-thin,10,thin,3,1,15,0,5,0,0,95,0
post-thin,11,thin,2,0.5,10,30,0,0,5,95,0
post-thin,11,thin,2,0.5,60,0,60,10,0,30,0
post-thin,12,thin,2.5,1.5,20,10,5,5,10,80,0
post-thin,12,thin,3.5,1.5,35,10,10,0,2,98,0
pre-thin,1,thin,2,0.25,0,30,0,0,5,95,0
pre-thin,1,thin,3,1.5,17.66666667,40,0,20,5,75,0
pre-thin,2,thin,1,1,7.333333333,6,5,0,5,90,0
pre-thin,2,thin,1.5,1,16.33333333,0,2,3,0,95,0
pre-thin,3,thin,2,0.5,10,0,0,2,0,98,0
pre-thin,3,thin,2,0.5,10,0,0,2,0,98,0
pre-thin,4,thin,2,0.5,29,60,0,15,5,80,0
pre-thin,4,thin,2,0.25,0,0,0,0,0,100,0
pre-thin,5,thin,1.5,2,30,0,5,5,0,90,0
pre-thin,5,thin,2,0.25,10,80,0,2,10,88,0
pre-thin,6,thin,3,1,0,0,0,0,0,100,0
pre-thin,6,thin,3,1,45,0,0,5,0,95,0
pre-thin,7,thin,2,1,11,0,0,0,0,100,0
pre-thin,7,thin,4,0.25,19,80,0,2,10,88,0
pre-thin,8,thin,2,0.5,7,0,0,1,0,99,0
pre-thin,8,thin,2,1,26,130,5,0,10,85,0
pre-thin,9,thin,4,1,23,110,1,4,10,85,0
pre-thin,9,thin,2,0.5,18,0,0,2,0,98,0
pre-thin,10,thin,3,1,9,90,0,1,5,94,0
pre-thin,10,thin,3,0.5,0,70,0,0,5,95,0
pre-thin,11,thin,2,2,13,20,0,2,5,93,0
pre-thin,11,thin,2,2,48,0,50,0,0,50,0
pre-thin,12,thin,1,1,6,70,0,2,5,93,0
pre-thin,12,thin,2,1.5,16,0,0,5,0,95,0
post-thin,1,control,1,1,0,110,0,0,5,95,0
post-thin,1,control,2,1.5,0,40,0,0,5,95,0
post-thin,2,control,2,0.5,0,0,0,0,0,100,0
post-thin,2,control,1,0.25,0,80,0,0,10,90,0
post-thin,3,control,2,1,0,50,0,0,5,95,0
post-thin,3,control,2.5,0.25,0,0,0,0,0,100,0
post-thin,4,control,2.5,1,0,70,0,0,5,95,0
post-thin,4,control,3,1,0,40,0,0,5,95,0
post-thin,5,control,3,1.5,10,40,2,0,2,96,0
post-thin,5,control,4,1,0,100,0,0,15,85,0
post-thin,6,control,2,1,0,40,0,0,5,95,0
post-thin,6,control,3,0.5,0,0,0,0,0,100,0
post-thin,7,control,2,1,0,10,0,0,5,95,0
post-thin,7,control,2.5,1,0,140,0,0,10,90,0
post-thin,8,control,3,1.5,0,70,0,0,5,95,0
post-thin,8,control,3.5,0.25,35,110,30,0,5,65,0
post-thin,9,control,2,0.5,0,130,0,0,10,90,0
post-thin,9,control,3,0.25,0,0,0,0,0,100,0
post-thin,10,control,3,1,0,30,0,0,10,90,0
post-thin,10,control,3.5,1.5,0,0,0,0,0,100,0
post-thin,11,control,1.5,0.5,10,140,2,0,13,85,0
post-thin,11,control,2,1,0,0,0,0,0,100,0
post-thin,12,control,2.5,1,0,50,0,0,5,95,0
post-thin,12,control,3,0.25,0,80,0,0,5,95,0
pre-thin,1,control,2,0.25,17,0,2,10,0,88,0
pre-thin,1,control,3,0.25,23,0,0,5,0,95,0
pre-thin,2,control,2,0.5,11.33333333,70,0,5,5,90,0
pre-thin,2,control,3,2,30.66666667,40,10,0,5,85,0
pre-thin,3,control,2,0.25,7,90,0,2,3,95,0
pre-thin,3,control,2,1,5,40,0,2,5,93,0
pre-thin,4,control,2,0.25,13,0,1,3,0,96,0
pre-thin,4,control,2,1,14,0,0,7,0,93,0
pre-thin,5,control,2,1,10,110,5,1,10,84,0
pre-thin,5,control,2,2,12,0,0,2,0,98,0
pre-thin,6,control,2,1.5,0,0,0,0,0,100,0
pre-thin,6,control,2,0.25,15,50,0,5,5,90,0
pre-thin,7,control,1.5,0.5,17,120,5,5,10,80,0
pre-thin,7,control,2,1,37,0,25,5,0,70,0
pre-thin,8,control,1,0.25,38,70,0,5,5,90,0
pre-thin,8,control,2,0.5,34,0,30,5,0,65,0
pre-thin,9,control,1.5,0.25,17,120,0,5,5,90,0
pre-thin,9,control,2,2,0,0,0,0,0,100,0
pre-thin,10,control,1,0.5,16,0,2,3,0,95,0
pre-thin,10,control,3,1,0,80,0,0,5,95,0
pre-thin,11,control,2,1,15,110,3,2,5,90,0
pre-thin,11,control,2,0.5,20,0,3,1,0,96,0
pre-thin,12,control,3,1,25,60,0,1,5,94,0
pre-thin,12,control,2,0.5,0,0,0,0,0,100,0
