Plot,Treatment,meso_os,frs1_cms,frs2_cms,avg_fh,consump,avg_max_temp,fuel_moist,,Treatment,Plot,season,meso_os,frs1_cm,frs2_cms,avg_fh,consump,avg_max_temp,fuel_moist
1,control,high,0.336700337,0.187090739,12.17391304,82,141.3333333,14.30020284,,errors,control,,high,0.200564683,0.062264879,3.101331666,10.51019913,63.19476191,1.393853409
3,control,high,0.858369099,0.473933649,27.72727273,90,392.7777778,11.20448179,,errors,thin,,high,0.348418849,0.112689128,2.391170583,11.38686587,52.23637234,2.528718863
9,control,high,0.689655172,0.449438202,17.63157895,95,371.2222222,10.06944444,,errors,control,,low,0.153871133,0.202856643,1.331181342,0.597614305,18.2085154,0.524607006
12,control,high,1.129943503,0.245700246,18.21428571,93,275.5555556,16.95906433,,errors,thin,,low,0.322585815,0.115253338,2.466625223,2.267786838,32.65217224,0.677655826
1,control,high,0,0,5,10,21,18.19505095,,,control,,med,0.323495026,0.198797987,2.041410501,9.885053653,52.11131391,0.654251441
3,control,high,0.975609756,0.377358491,19.16666667,95,497.6666667,11.26436782,,,thin,,med,0.469541409,0.155356063,2.189466928,10.98365263,53.30339536,0.817562367
9,control,high,1.904761905,0.476190476,33.57142857,98,497.6666667,20.92457421,,,,,,,,,,,
12,control,high,0.643086817,0.479616307,16.66666667,97,497.6666667,11.85185185,,,,,,,,,,,
4,control,low,0.732600733,0.668896321,18,100,411.3333333,11.1332008,,,,,,,,,,,
5,control,low,0.563380282,0.481927711,21.53846154,100,379.875,7.418397626,,,,,,,,,,,
6,control,low,1.834862385,0.280504909,23.52941176,100,382,7.441471572,,,,,,,,,,,
11,control,low,0.921658986,0.477326969,25,98,349.6666667,9.261744966,,,,,,,,,,,
4,control,low,0.584795322,0.566572238,16,98,345,10.63189569,,,,,,,,,,,
5,control,low,1.398601399,2.06185567,22.5,99,443.6666667,7.903225806,,,,,,,,,,,
6,control,low,1.111111111,0.615384615,19.28571429,98,473,10.2189781,,,,,,,,,,,
11,control,low,0.869565217,0.308641975,14.28571429,95,473,10.0099108,,,,,,,,,,,
2,control,med,3.03030303,1.834862385,28.33333333,95,463.2222222,11.44230769,,,,,,,,,,,
7,control,med,0.404040404,0.34965035,13.42105263,85,270.4444444,11.45320197,,,,,,,,,,,
8,control,med,0,0,11.25,15,52.88888889,10.86036671,,,,,,,,,,,
10,control,med,1.020408163,1.03626943,18.92857143,97,385.1111111,13.03258145,,,,,,,,,,,
2,control,med,1.020408163,0.435729847,16.66666667,96,386.5555556,13.00813008,,,,,,,,,,,
7,control,med,0.445434298,0.437636761,18.33333333,90,363.4444444,9.498680739,,,,,,,,,,,
8,control,med,0.787401575,0.732600733,19.44444444,95,497.6666667,7.482993197,,,,,,,,,,,
10,control,med,1.176470588,0.952380952,26,95,497.6666667,10.03039514,,,,,,,,,,,
1,thin,high,0.687285223,0.454545455,17.75,97,388.2222222,8.840304183,,,,,,,,,,,
3,thin,high,0.389105058,0.393700787,13.6,80,250.2222222,8.839050132,,,,,,,,,,,
9,thin,high,2.941176471,0.555555556,24,100,394.3333333,7.793522267,,,,,,,,,,,
12,thin,high,1.01010101,0.418410042,16.66666667,98,380.5555556,8.705882353,,,,,,,,,,,
1,thin,high,0.24691358,0.353982301,10.83333333,90,253.7777778,19.05274489,,,,,,,,,,,
3,thin,high,0,0,5.833333333,10,22,19.09547739,,,,,,,,,,,
9,thin,high,1.234567901,1.069518717,24.44444444,95,462.1111111,25.64612326,,,,,,,,,,,
12,thin,high,0.775193798,0.586510264,8.5,85,358.7777778,11.07142857,,,,,,,,,,,
4,thin,low,0.662251656,0.248756219,20.20833333,90,295.4444444,9.59651036,,,,,,,,,,,
5,thin,low,0.754716981,0.778210117,19.58333333,97,394.3333333,7.352941176,,,,,,,,,,,
6,thin,low,0.564971751,0.534759358,25.76923077,100,358.7777778,12.04379562,,,,,,,,,,,
11,thin,low,0.641025641,0.746268657,20,95,295.1111111,7.380073801,,,,,,,,,,,
4,thin,low,0.757575758,0.465116279,9,80,256.7777778,10.85141903,,,,,,,,,,,
5,thin,low,3.225806452,1.351351351,30,99,497.6666667,9.485530547,,,,,,,,,,,
6,thin,low,0.727272727,0.862068966,20,96,473,6.753812636,,,,,,,,,,,
11,thin,low,0.498753117,0.704225352,10.55555556,95,463.7777778,7.524271845,,,,,,,,,,,
2,thin,med,2.985074627,0.823045267,17,97,399,10.10215664,,,,,,,,,,,
7,thin,med,1.015228426,0.896860987,28.33333333,100,375.8888889,11.9831815,,,,,,,,,,,
8,thin,med,0,0,10,10,35.88888889,9.076433121,,,,,,,,,,,
10,thin,med,0.961538462,0.550964187,21.57894737,98,409.7777778,9.216589862,,,,,,,,,,,
2,thin,med,0.36036036,0.561797753,13.33333333,93,354,14.61897356,,,,,,,,,,,
7,thin,med,0.420168067,1.526717557,21.25,100,497.6666667,7.974683544,,,,,,,,,,,
8,thin,med,0.571428571,0.512820513,18.75,95,497.6666667,8.058608059,,,,,,,,,,,
10,thin,med,3.636363636,0.930232558,26.42857143,100,485.3333333,8.305921053,,,,,,,,,,,
